Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB,GB,HR/FB,ERA,FIP,xFIP,WAR
Angels,80,82,43,705,162,1440.2,8.2,2.94,1.4,0.289,0.75,0.42,0.14,4.2,4.43,4.37,11
Astros,101,61,45,681,162,1446,9.91,3.25,1.2,0.3,0.74,0.47,0.15,4.12,3.91,3.77,19
Athletics,75,87,35,687,162,1431,7.56,3.16,1.32,0.294,0.69,0.45,0.14,4.67,4.57,4.54,9.6
Blue Jays,76,86,45,740,162,1465,8.43,3.37,1.25,0.303,0.72,0.45,0.13,4.42,4.31,4.36,16.6
Braves,72,90,36,692,162,1441.1,7.86,3.65,1.2,0.302,0.70,0.45,0.13,4.72,4.51,4.67,8.9
Brewers,86,76,54,712,162,1445.2,8.38,3.44,1.15,0.298,0.75,0.46,0.14,4,4.24,4.26,17.1
Cardinals,83,79,43,708,162,1450.1,8.38,3.06,1.14,0.298,0.74,0.46,0.14,4.01,4.09,4.12,15.7
Cubs,92,70,38,693,162,1447.1,8.95,3.44,1.21,0.285,0.74,0.46,0.15,3.95,4.2,4.1,16.8
Diamondbacks,93,69,43,675,162,1441,9.26,3.22,1.07,0.294,0.74,0.48,0.13,3.67,3.8,3.86,22.9
Dodgers,104,58,51,698,162,1444.2,9.65,2.75,1.15,0.281,0.78,0.43,0.13,3.38,3.67,3.7,21.7
Giants,64,98,32,664,162,1452,7.65,3.07,1.13,0.308,0.71,0.43,0.12,4.5,4.22,4.53,11.4
Indians,102,60,37,659,162,1440.2,10.08,2.54,1.02,0.303,0.78,0.44,0.13,3.3,3.33,3.41,30.4
Mariners,78,84,39,689,162,1440.1,7.77,3.06,1.48,0.283,0.73,0.40,0.14,4.46,4.7,4.64,9.3
Marlins,77,85,34,742,162,1442.2,7.5,3.91,1.2,0.298,0.71,0.43,0.12,4.82,4.69,4.9,5.5
Mets,70,92,34,730,162,1434.2,8.62,3.72,1.38,0.319,0.71,0.44,0.15,5.01,4.59,4.42,8.7
Nationals,97,65,46,649,162,1446.2,9.06,3.08,1.18,0.287,0.74,0.44,0.13,3.88,3.99,4.12,23
Orioles,75,87,35,654,162,1441,7.7,3.62,1.51,0.302,0.72,0.45,0.15,4.97,4.96,4.72,8.6
Padres,71,91,45,679,162,1430.2,8.34,3.49,1.42,0.299,0.71,0.48,0.16,4.7,4.68,4.34,7.9
Phillies,66,96,33,668,162,1441,8.18,3.29,1.38,0.304,0.73,0.43,0.14,4.57,4.56,4.5,14.3
Pirates,75,87,36,664,162,1440.2,7.88,3.19,1.14,0.306,0.73,0.45,0.13,4.23,4.23,4.33,16.6
Rangers,78,84,29,626,162,1434.1,6.95,3.51,1.34,0.289,0.71,0.44,0.14,4.7,4.88,4.89,11.2
Rays,80,82,53,673,162,1445,8.42,3.13,1.2,0.283,0.73,0.43,0.13,3.99,4.17,4.29,15
Red Sox,93,69,39,677,162,1482.1,9.59,2.82,1.18,0.303,0.76,0.41,0.13,3.73,3.78,3.91,23.2
Reds,68,94,33,666,162,1430,8.18,3.97,1.56,0.296,0.71,0.45,0.17,5.17,5.08,4.66,5.3
Rockies,87,75,47,711,162,1437.2,7.95,3.33,1.19,0.305,0.72,0.49,0.14,4.51,4.32,4.26,18.6
Royals,80,82,39,700,162,1437.2,7.61,3.25,1.23,0.303,0.71,0.44,0.12,4.63,4.43,4.68,13.7
Tigers,64,98,32,672,162,1420.1,7.62,3.41,1.38,0.32,0.69,0.39,0.13,5.36,4.73,4.87,11.5
Twins,85,77,42,682,162,1436,7.31,3.03,1.4,0.296,0.73,0.42,0.14,4.6,4.71,4.75,8.9
White Sox,67,95,25,682,162,1421.2,7.55,4,1.53,0.281,0.72,0.42,0.15,4.78,5.17,5.01,4.4
Yankees,91,71,36,639,162,1448.2,9.69,3.13,1.19,0.28,0.75,0.46,0.14,3.75,3.88,3.82,23.4
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
