Team,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,BIZ,Plays,RZR,OOZ,FSR,FRM,ARM,DPR,RngR,ErrR,UZR,UZR/150,Def
Angels,12966,16,3,4,7,-3,3,-1,16,46,2134,1738,0.814,522,19,24.7,-0.4,3.7,15.4,10.6,29.3,4.2,37.3
Astros,13014,9,-4,-6,7,10,1,-17,18,7,1855,1463,0.789,559,2,11.9,6.1,0.8,-32.2,-4.3,-29.6,-3.6,-41.6
Athletics,12879,1,1,-4,-4,-10,-5,-22,0,-48,2219,1832,0.826,497,-37,0.2,-15,-3,-11.4,-6,-35.4,-6.7,-42.4
Blue Jays,13185,8,0,-1,-2,2,9,-19,13,-5,2106,1708,0.811,498,-2,2.7,6.8,-3,-27,6.5,-16.7,-1.2,-25.7
Braves,12972,28,-2,-2,3,-3,-10,-31,6,-17,2116,1692,0.8,536,-12,9.4,-2.1,0.8,-12,3.7,-9.6,-1.5,8.2
Brewers,13011,6,1,-2,6,5,-5,12,23,45,1929,1535,0.796,562,-4,-3.5,12.7,1.1,-4.3,-19.7,-10.2,0.4,-12.2
Cardinals,13053,7,-1,3,-7,6,0,19,3,35,2115,1749,0.827,464,-13,2.4,0.9,2.6,2.2,2.2,7.9,1.3,16.9
Cubs,13026,-10,-2,3,0,-2,-2,37,16,38,1967,1627,0.827,462,23,-10.5,4.3,-2.7,19.4,3.5,24.5,3.9,23.5
Diamondbacks,12969,10,-1,-1,-1,-15,0,21,11,23,2007,1639,0.817,497,-8,3.5,-10.2,-1.6,0.2,-10.1,-21.7,-5.6,-19.7
Dodgers,13002,25,1,4,1,0,2,45,8,74,1764,1453,0.824,513,19,25.9,2.2,3.1,21.7,-4.4,22.7,4.4,26.7
Giants,13068,-2,-1,1,-2,-9,-6,-28,1,-43,2190,1795,0.82,477,4,-1.3,-6.6,-1.6,3.8,6.6,2.2,-1,7.2
Indians,12966,9,-1,4,5,7,16,-13,24,57,1827,1524,0.834,440,36,13.1,3.6,3.6,-10.6,8.2,4.9,1.8,14.9
Mariners,12963,-5,4,1,11,12,-3,-16,10,15,2103,1688,0.803,570,20,3,12.6,8.4,0.5,-11.4,10.1,4.1,8.1
Marlins,12984,-12,-7,2,3,-5,9,15,-2,9,2110,1712,0.811,557,3,2.2,-2.5,4.2,13.5,9.7,24.9,3.3,27.9
Mets,12912,-6,0,-2,-3,10,-6,-62,3,-72,2101,1676,0.798,507,-37,2.3,9.6,-4.1,-11.8,0.8,-5.5,0.6,-12.5
Nationals,13020,-5,2,-1,-3,3,-10,-23,3,-41,1978,1609,0.813,525,0,-8.8,-1.9,-0.5,6.4,2.4,6.3,0.4,2.3
Orioles,12969,-6,-3,0,-1,-5,6,-15,10,-11,2106,1684,0.8,557,-23,-0.3,-13.2,-0.8,-21.5,5.6,-29.9,-6.2,-29.9
Padres,12876,6,2,0,3,0,-1,-16,-2,-2,2059,1626,0.79,552,-15,4.4,2.9,3.1,-28.7,-8.8,-31.5,-3.3,-25.5
Phillies,12969,-23,2,-3,-2,4,-4,-40,7,-50,2048,1650,0.806,522,1,-21.5,-0.2,2.3,-11.4,11.6,2.3,0.4,-0.7
Pirates,12966,-11,0,0,5,4,0,10,10,16,2037,1638,0.804,535,-19,-16.5,4,1.6,3,-10.1,-1.5,0.6,-5.5
Rangers,12909,-13,-3,1,-1,3,2,7,14,13,2182,1773,0.813,573,-13,-12.2,0.2,1.3,-10.4,-3.2,-12.1,-1.3,-9.1
Rays,13005,12,-1,-1,0,6,-9,64,30,88,1983,1597,0.805,615,-1,0.4,0.3,-2.2,32.7,-7.9,22.8,3.1,22.6
Red Sox,13341,31,-1,6,-4,5,15,17,6,75,1930,1581,0.819,529,19,12.3,0.7,-5.2,32.1,0.1,27.7,3.1,38.7
Reds,12870,-20,7,6,0,17,8,2,8,35,2039,1646,0.807,537,14,-17.1,10.9,3.5,-4.5,2,11.9,4,20.9
Rockies,12939,-27,-2,2,4,-14,8,19,0,7,2118,1690,0.798,541,23,-9.6,-12.7,4.4,2.6,14.2,8.5,-0.8,14.5
Royals,12939,-16,0,-3,-4,-12,6,-14,1,-41,2182,1744,0.799,576,13,-12.7,-4.1,-0.3,-6.4,12,1.1,-0.5,-2.9
Tigers,12783,-12,-3,-3,-9,-12,-12,-18,8,-61,2152,1747,0.812,504,-12,-13.1,-14.2,-5.5,9.8,13.1,3.2,-1.6,2.2
Twins,12924,3,6,1,-6,2,-5,23,8,28,2180,1791,0.822,606,10,6.4,-0.3,-7.7,11,12,15.1,1,14.1
White Sox,12795,-5,-1,-6,5,4,-10,2,17,2,2051,1669,0.814,623,-17,-0.4,7.4,0.7,1.5,-17.2,-7.5,0.2,-21.5
Yankees,13038,5,0,0,-9,1,-4,28,5,23,1893,1533,0.81,574,4,0.5,-1.8,-6.2,16.3,0.2,8.5,0.2,8.5
