Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB,GB,HR/FB,ERA,FIP,xFIP,WAR
Angels,72,90,32,751,162,1442.2,8.76,3.59,1.67,0.29,0.71,0.40,0.17,5.12,5.04,4.8,5.8
Astros,107,55,47,654,162,1462.1,10.28,2.76,1.42,0.27,0.77,0.44,0.17,3.66,3.98,3.8,23.7
Athletics,97,65,45,709,162,1465,7.98,2.93,1.23,0.278,0.75,0.42,0.13,3.97,4.34,4.72,18.7
Blue Jays,67,95,33,753,162,1440.1,8.32,3.77,1.42,0.3,0.72,0.43,0.15,4.79,4.82,4.88,9.1
Braves,97,65,44,737,162,1450.2,8.64,3.4,1.26,0.302,0.74,0.45,0.15,4.2,4.39,4.42,12.3
Brewers,89,73,50,750,162,1459.1,9.23,3.52,1.39,0.292,0.73,0.42,0.16,4.4,4.46,4.42,12.9
Cardinals,91,71,52,704,162,1444,8.72,3.4,1.19,0.283,0.76,0.45,0.15,3.82,4.27,4.36,15.5
Cubs,84,78,38,738,162,1442,9.01,3.33,1.22,0.3,0.74,0.46,0.15,4.1,4.25,4.29,17
Diamondbacks,85,77,45,719,162,1465,8.77,3.17,1.35,0.295,0.74,0.43,0.15,4.25,4.4,4.42,13.9
Dodgers,106,56,44,707,162,1445.2,9.46,2.44,1.15,0.271,0.75,0.45,0.14,3.39,3.73,3.87,24.1
Giants,77,85,41,749,162,1469,8.38,3.18,1.39,0.286,0.73,0.42,0.15,4.38,4.55,4.58,7.6
Indians,93,69,42,684,162,1437.2,9.44,2.82,1.3,0.291,0.76,0.40,0.14,3.79,4.06,4.3,21.9
Mariners,68,94,34,700,162,1439.1,7.75,3.16,1.63,0.291,0.68,0.43,0.16,5,5,4.85,5.8
Marlins,57,105,27,701,162,1444.1,8.59,3.83,1.47,0.281,0.72,0.38,0.14,4.74,4.89,5.06,6
Mets,86,76,38,664,162,1461,9.36,3.08,1.26,0.304,0.73,0.43,0.14,4.25,4.1,4.29,20.4
Nationals,93,69,40,692,162,1439.1,9.45,3.23,1.26,0.296,0.73,0.43,0.14,4.28,4.14,4.32,22.3
Orioles,54,108,27,695,162,1443,7.78,3.5,1.9,0.295,0.69,0.41,0.17,5.67,5.56,5.23,5.5
Padres,70,92,47,705,162,1432,9.27,2.91,1.35,0.299,0.70,0.43,0.15,4.63,4.22,4.29,15.5
Phillies,81,81,36,726,162,1453.2,8.62,3.38,1.6,0.298,0.75,0.43,0.18,4.53,4.88,4.55,8.4
Pirates,69,93,31,712,162,1440,9.02,3.65,1.51,0.315,0.69,0.42,0.16,5.19,4.78,4.72,8.8
Rangers,78,84,33,661,162,1438,8.63,3.65,1.51,0.312,0.71,0.42,0.15,5.09,4.84,4.82,14.2
Rays,96,66,46,765,162,1474.1,9.9,2.77,1.1,0.29,0.74,0.44,0.13,3.67,3.65,3.89,25.3
Red Sox,84,78,33,794,162,1471,9.99,3.7,1.32,0.312,0.71,0.43,0.14,4.7,4.28,4.39,16.5
Reds,75,87,46,697,162,1438,9.71,3.35,1.34,0.286,0.74,0.44,0.16,4.18,4.23,4.1,18.6
Rockies,71,91,28,752,162,1448.2,7.85,3.66,1.68,0.308,0.69,0.46,0.19,5.58,5.23,4.75,6.7
Royals,59,103,37,682,162,1425,7.77,3.68,1.4,0.311,0.70,0.44,0.15,5.2,4.9,4.98,7.7
Tigers,47,114,31,738,161,1433,8.59,3.37,1.57,0.317,0.69,0.43,0.16,5.26,4.84,4.75,11.2
Twins,101,61,50,686,162,1463.1,9,2.78,1.22,0.309,0.72,0.42,0.13,4.18,4.03,4.27,23.9
White Sox,72,89,33,697,161,1412.2,8.36,3.71,1.52,0.302,0.71,0.43,0.16,4.91,4.89,4.81,12.3
Yankees,103,59,50,707,162,1443,9.57,3.16,1.55,0.296,0.75,0.42,0.17,4.31,4.47,4.27,18.1
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
