Team,G,PA,HR,R,RBI,SB,BB,K,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
Angels,2419,6041,156,717,686,73,0.08,0.16,0.145,0.289,0.26,0.322,0.405,0.314,99,-16.8,-27.4,6.4,19.2
Astros,2334,6204,198,724,689,102,0.09,0.23,0.17,0.298,0.247,0.319,0.417,0.317,101,-5.4,2.8,14.6,23.7
Athletics,2343,6022,169,653,634,50,0.07,0.19,0.149,0.28,0.246,0.304,0.395,0.302,89,-22.2,-100.5,-77.5,3
Blue Jays,2349,6233,221,759,728,54,0.10,0.22,0.178,0.289,0.248,0.33,0.426,0.327,104,-9,21.9,8.8,25.1
Braves,2390,6192,122,649,615,75,0.08,0.20,0.13,0.305,0.255,0.321,0.384,0.304,86,-6.1,-110.8,13.7,9.8
Brewers,2342,6061,194,671,641,181,0.10,0.26,0.163,0.304,0.244,0.322,0.407,0.315,92,5.2,-55.2,-9.3,12.7
Cardinals,2400,6223,225,779,745,35,0.09,0.21,0.187,0.294,0.255,0.325,0.443,0.329,105,-17.1,18.9,2.8,22
Cubs,2332,6335,199,808,767,66,0.10,0.21,0.173,0.302,0.256,0.343,0.429,0.333,106,17.3,61.3,104.8,37.1
Diamondbacks,2399,6260,190,752,709,137,0.07,0.23,0.171,0.315,0.261,0.32,0.432,0.321,93,17.7,-39.9,-2.1,15.6
Dodgers,2491,6164,189,725,680,45,0.09,0.21,0.16,0.294,0.249,0.319,0.409,0.314,97,2,-20.2,77.9,25.5
Giants,2404,6271,130,715,675,79,0.09,0.18,0.14,0.299,0.258,0.329,0.398,0.315,96,-2.8,-34.8,92.8,25.9
Indians,2366,6155,185,777,733,134,0.09,0.20,0.168,0.304,0.262,0.329,0.43,0.326,100,15.8,14.1,16.8,24.9
Mariners,2371,6227,223,768,735,56,0.08,0.21,0.171,0.297,0.259,0.326,0.43,0.325,108,-13.5,44.6,-51.2,21.3
Marlins,2460,6133,128,655,626,71,0.07,0.20,0.131,0.314,0.263,0.322,0.394,0.309,95,2.4,-40.1,57.4,21.3
Mets,2430,6115,218,671,649,42,0.09,0.21,0.171,0.282,0.246,0.316,0.417,0.315,99,-8.6,-17.7,55.9,23.4
Nationals,2302,6202,203,763,735,121,0.09,0.20,0.17,0.293,0.256,0.325,0.426,0.322,96,16,-16.7,41.2,22.2
Orioles,2257,6089,253,744,710,19,0.08,0.22,0.188,0.291,0.256,0.317,0.443,0.326,103,2.5,22.6,-29.8,20.7
Padres,2355,6000,177,686,654,125,0.08,0.25,0.155,0.291,0.235,0.299,0.39,0.297,84,24.8,-92.3,14,11.1
Phillies,2348,5992,161,610,575,96,0.07,0.23,0.144,0.292,0.24,0.301,0.385,0.296,81,0.9,-137.5,43.2,9.4
Pirates,2458,6261,153,729,696,110,0.09,0.21,0.144,0.311,0.257,0.332,0.402,0.318,97,-6.7,-26.5,15.6,18.8
Rangers,2324,6089,215,765,746,99,0.07,0.20,0.172,0.298,0.262,0.322,0.433,0.324,95,2,-37,-14.5,16.2
Rays,2281,6046,216,672,647,60,0.07,0.25,0.182,0.293,0.243,0.307,0.426,0.315,98,-0.4,-13,-9,19.1
Red Sox,2284,6320,208,878,836,83,0.09,0.18,0.179,0.32,0.282,0.348,0.461,0.346,113,10.6,109.9,15.9,35.2
Reds,2287,6094,164,716,678,139,0.07,0.21,0.152,0.303,0.256,0.316,0.408,0.311,89,-4.3,-89.9,18.6,12.1
Rockies,2369,6236,204,845,805,66,0.08,0.21,0.182,0.326,0.275,0.336,0.457,0.339,94,1.1,-45,32.2,18.5
Royals,2244,6052,147,675,640,121,0.06,0.20,0.139,0.309,0.261,0.312,0.4,0.307,89,-4.3,-83.9,-9.8,11.8
Tigers,2295,6127,211,750,719,58,0.08,0.21,0.171,0.312,0.267,0.331,0.438,0.33,106,-16.9,27,-31.9,21.1
Twins,2290,6245,200,722,690,91,0.08,0.23,0.171,0.3,0.251,0.316,0.421,0.317,95,7.8,-28.5,-65.9,12.4
White Sox,2217,6131,168,686,656,77,0.07,0.21,0.153,0.304,0.257,0.317,0.41,0.314,97,-2.5,-27.2,-38,15
Yankees,2308,6058,183,680,647,72,0.08,0.20,0.153,0.289,0.252,0.314,0.405,0.311,92,10.6,-49.7,-7.3,15.5
,,,,,,,,,,,,,,,,,,,
