Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB,GB,HR/FB,ERA,FIP,xFIP,WAR
Angels,80,82,35,763,162,1437.1,8.68,3.42,1.28,0.294,0.74,0.42,0.14,4.15,4.36,4.18,11.3
Astros,103,59,46,672,162,1455,10.44,2.69,0.94,0.283,0.78,0.44,0.12,3.11,3.23,3.36,29.1
Athletics,97,65,44,740,162,1465.2,7.6,2.91,1.13,0.27,0.74,0.44,0.12,3.82,4.18,4.25,13.6
Blue Jays,73,89,39,752,162,1433.2,8.15,3.46,1.31,0.306,0.70,0.43,0.13,4.85,4.53,4.54,8.8
Braves,90,72,40,715,162,1456.2,8.79,3.92,0.95,0.278,0.74,0.43,0.11,3.75,3.99,4.17,14.9
Brewers,96,67,49,722,163,1461,8.8,3.41,1.07,0.279,0.74,0.43,0.13,3.73,4.01,4.04,15.2
Cardinals,88,74,43,727,162,1455.1,8.27,3.67,0.89,0.293,0.73,0.45,0.11,3.85,3.97,4.24,14.1
Cubs,95,68,46,763,163,1476.1,8.13,3.79,0.96,0.284,0.76,0.45,0.12,3.65,4.14,4.29,15.1
Diamondbacks,82,80,39,735,162,1463,8.91,3.21,1.07,0.289,0.76,0.47,0.14,3.73,3.91,3.81,12.9
Dodgers,92,71,48,756,163,1476,9.54,2.57,1.09,0.284,0.76,0.45,0.13,3.4,3.6,3.52,18.6
Giants,73,89,36,711,162,1461.1,7.82,3.23,0.96,0.293,0.72,0.45,0.11,3.95,3.98,4.2,13.1
Indians,91,71,41,670,162,1457.1,9.54,2.51,1.24,0.298,0.76,0.43,0.14,3.77,3.79,3.66,22.1
Mariners,89,73,60,699,162,1448.2,8.25,2.49,1.21,0.295,0.73,0.43,0.13,4.13,4.05,4.06,16
Marlins,63,98,30,707,161,1442,7.8,3.78,1.2,0.29,0.70,0.41,0.12,4.76,4.57,4.65,2.7
Mets,77,85,41,663,162,1460.2,8.91,2.98,1.14,0.295,0.73,0.42,0.12,4.07,3.97,4.03,17.7
Nationals,82,80,40,724,162,1446,8.82,3.03,1.23,0.287,0.75,0.41,0.13,4.04,4.15,4.13,16.7
Orioles,47,115,28,652,162,1431,7.57,3.7,1.47,0.31,0.70,0.42,0.14,5.19,4.98,4.73,7.3
Padres,66,96,36,697,162,1457,8.64,3.21,1.14,0.305,0.71,0.44,0.14,4.41,4.1,3.99,12.4
Phillies,80,82,44,758,162,1445.2,9.12,3.11,1.06,0.303,0.71,0.45,0.12,4.15,3.83,3.87,19.2
Pirates,82,79,40,641,161,1434,8.38,3.12,1.09,0.296,0.74,0.43,0.12,4,4.06,4.14,15.1
Rangers,67,95,42,668,162,1431,7.05,3.09,1.4,0.299,0.70,0.43,0.14,4.92,4.79,4.59,10.8
Rays,90,72,52,715,162,1448.1,8.83,3.11,1.02,0.278,0.73,0.44,0.12,3.75,3.82,3.98,17.5
Red Sox,108,54,46,697,162,1458.2,9.61,3.16,1.09,0.294,0.76,0.42,0.12,3.75,3.82,3.92,18.3
Reds,67,95,38,706,162,1441,7.86,3.32,1.42,0.3,0.72,0.44,0.16,4.65,4.68,4.28,8.1
Rockies,91,72,51,681,163,1452.1,8.73,3.25,1.14,0.299,0.71,0.45,0.14,4.33,4.06,3.96,17.3
Royals,58,104,33,645,162,1432,7.27,3.45,1.29,0.309,0.71,0.43,0.13,4.95,4.66,4.63,6.4
Tigers,64,98,37,704,162,1425.1,7.67,3.1,1.36,0.291,0.71,0.40,0.13,4.6,4.59,4.55,9.6
Twins,78,84,37,728,162,1443.1,8.59,3.57,1.23,0.302,0.72,0.42,0.13,4.5,4.39,4.33,11.9
White Sox,62,100,34,715,162,1437,7.89,4.09,1.23,0.292,0.69,0.41,0.12,4.85,4.73,4.88,9.9
Yankees,100,62,49,670,162,1456.1,10.1,3.05,1.09,0.3,0.74,0.43,0.13,3.78,3.63,3.61,24.2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
