Name,Pos,Bats,Thr,Prev Team,Age,Service Time,Prev WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV,,playerid
"Jerad Eickhoff","SP/RP","R","R","PHI",29,"4.028",-0.37868762016296387,0.013179754838347435,,0,,,"SDP","1","MiLB","",,12664
"Zach Duke","RP","L","L","CIN",37,"12.155",-0.3895542621612549,0.05801935866475105,,0,,,,"",,,,3840
"Wei-Yin Chen","SP/RP","R","L","MIA",34,"8.000",-0.4004959166049957,-0.007455866783857346,,0,,,"SEA","1","MiLB","",,13071
"Ervin Santana","SP","R","R","NYM",37,"13.123",-0.40204253792762756,0.08087120205163956,,0,,,,"",,,,3200
"Wily Peralta","RP","R","R","KCR",31,"5.166",-0.44406071305274963,-0.0303505826741457,,0,,,,"",,,,7738
"Jacob Barnes","RP","R","R","KCR",30,"3.030",-0.4547369182109833,0.0006311029428616166,,0,,,"LAA","1","MiLB","",,12323
"Scooter Gennett","2B","L","R","SFG",30,"6.051",-0.4781283438205719,0.3912617564201355,1,5000000,5000000,,,"",,,,10339
"Maikel Franco","3B","R","R","PHI",27,"4.157",-0.481852263212204,1.2823420763015747,,0,,,"KCR","1","2950000","2950000",,12179
"Jared Hughes","RP","R","R","PHI",34,"7.162",-0.515838623046875,0.0011718188179656863,,0,,,,"",,,,9325
"Drew Butera","C","R","R","COL",36,"8.067",-0.5288917422294617,-0.14399684965610504,,0,,,"COL","1","MiLB","",,3411
"Jonathan Lucroy","C","R","R","CHC",34,"9.136",-0.5328595042228699,0.37030309438705444,1,5000000,5000000,,,"",,,,7870
"Chris Iannetta","C","R","R","COL",37,"12.154",-0.5337896347045898,0.10467987507581711,,0,,,"NYY","1","MiLB","",,8267
"Leonys Martin","CF/RF/LF","L","R","CLE",32,"6.081",-0.5605054497718811,0.09097301214933395,,0,,,,"",,,,11846
"Carlos González","RF/LF","L","L","CHC",34,"10.131",-0.5883906483650208,0.05054418742656708,,0,,,,"",,,,7287
"José Peraza","2B/SS","R","R","CIN",26,"3.141",-0.5920646786689758,0.5796653628349304,,0,,,"BOS","1","2850000","2850000",,13593
"Ross Detwiler","SP/RP","R","L","CHW",34,"7.011",-0.5946807861328125,-0.00022888221428729594,,0,,,"CHW","1","MiLB","",,2859
"Luis García","RP","R","R","LAA",33,"5.006",-0.6145056486129761,0.17128723859786987,,0,,,"TEX","1","MiLB","",,6984
"JT Riddle","SS/CF","L","R","MIA",28,"2.118",-0.6238438487052917,-0.17569100856781006,,0,,,"PIT","1","850000","850000",,17642
"Josh Harrison","2B/3B","R","R","DET",32,"7.168",-0.6371825933456421,-0.1066271960735321,,0,,,"PHI","1","MiLB","",,8202
"Cody Allen","RP","R","R","MIN",31,"6.159",-0.6529642939567566,0.03345019742846489,,0,,,,"",,,,12183
"Jedd Gyorko","3B/1B/2B","R","R","LAD",31,"6.164",-0.6589503288269043,0.7248628735542297,,0,,,"MIL","1","2000000","2000000",,10816
"Anthony Swarzak","RP","R","R","ATL",34,"8.024",-0.6670652627944946,0.041757624596357346,,0,,,"PHI","1","MiLB","",,7466
"Melky Cabrera","LF/RF","S","L","PIT",35,"13.077",-0.7265178561210632,-0.17065350711345673,,0,,,,"",,,,4022
"Kyle Barraclough","RP","R","R","SFG",30,"4.020",-0.7367552518844604,0.014713894575834274,,0,,,"SDP","1","MiLB","",,13713
"Chris Owings","2B/SS/OF","R","R","BOS",28,"5.131",-0.769219696521759,-0.11266066133975983,,0,,,"COL","1","MiLB","",,10030
"Juan Lagares","CF","R","R","NYM",31,"6.160",-0.7730348706245422,0.07865343242883682,,0,,,,"",,,,5384
"Adam Warren","RP","R","R","SDP",32,"7.036",-0.7800475358963013,-0.002542875474318862,,0,,,"NYY","2","MiLB","",,9029
"Keon Broxton","CF/RF/LF","R","R","SEA",30,"3.038",-0.7824605703353882,-0.011110481806099415,,0,,,"MIL","1","MiLB","",,9253
"Mark Reynolds","1B/DH","R","R","COL",36,"12.057",-0.7927775979042053,-0.30769240856170654,,0,,,,"",,,,7619
"Matt Kemp","LF/RF","R","R","NYM",35,"12.087",-0.7968108654022217,-0.02421206794679165,,0,,,"MIA","1","MiLB","",,5631
"Kendrys Morales","1B/DH","S","R","NYY",37,"11.093",-0.8054848909378052,0.037746623158454895,,0,,,,"",,,,8610
"Travis Shaw","3B/1B","L","R","MIL",30,"4.053",-0.8115540742874146,1.25787353515625,,0,,,"TOR","1","4000000","4000000",,11982
"Trevor Cahill","SP/RP","R","R","LAA",32,"10.098",-0.8165749907493591,0.16973581910133362,,0,,,,"",,,,6249
"Cheslor Cuthbert","1B/3B","R","R","KCR",27,"3.152",-0.8443248867988586,0.017316019162535667,,0,,,"CHW","1","MiLB","",,10473
"Jon Jay","LF/RF/CF","L","L","CHW",35,"9.134",-0.8787966966629028,-0.18393103778362274,,0,,,"ARI","1","MiLB","",,5227
"Steve Pearce","1B/LF/DH","R","R","BOS",37,"10.116",-0.9102658629417419,-0.05228141322731972,,0,,,,"",,,,9957
"Jung Ho Kang","3B","R","R","PIT",33,"2.133",-0.9151904582977295,0.20338304340839386,1,1000000,1000000,,,"",,,,17182
"Lucas Duda","1B","L","R","ATL",34,"8.088",-0.9557851552963257,-0.11066767573356628,1,1000000,1000000,,,"",,,,2502
"Derek Holland","RP/SP","S","L","CHC",33,"10.105",-0.9981011152267456,0.0685674175620079,,0,,,"PIT","1","MiLB","",,4141
"Eduardo Núñez","2B/3B/SS","R","R","BOS",33,"8.033",-1.0026302337646484,0.00837462954223156,,0,,,"NYM","1","MiLB","",,6848
"Welington Castillo","C","R","R","TEX",33,"7.104",-1.004393458366394,-0.012557302601635456,,0,,,"WSN","1","MiLB","",,3256
"Edwin Jackson","SP","R","R","DET",36,"12.158",-1.0601719617843628,0.021987151354551315,,0,,,"ARI","1","MiLB","",,1841
"John Hicks","C","R","R","DET",30,"3.001",-1.1625072956085205,-0.0008735467563383281,,0,,,"ARI","1","MiLB","",,12547
"Martín Prado","3B/1B","R","R","MIA",36,"12.105",-1.2183749675750732,-0.010026747360825539,,0,,,,"",,,,3312
"Yonder Alonso","1B","L","R","COL",33,"8.111",-1.2196792364120483,-0.04785540699958801,,0,,,"ATL","1","MiLB","",,2530
"Elias Díaz","C","R","R","PIT",29,"3.088",-1.4777858257293701,-0.035733941942453384,,0,,,"COL","1","MiLB","",,11680
"Josh Lindblom","SP","R","R","KBO",33,"1.151",,2.2241127490997314,2,8500000,4250000,,"MIL","3","9125000","3041667",,7882
"Kendall Graveman","SP","R","R","CHC",29,"4.078",,1.2349637746810913,,0,,,"SEA","1","2000000","2000000",,15514
"Steven Souza Jr.","RF/LF","R","R","ARI",31,"5.072",,0.6882687211036682,,0,,,"CHC","1","1000000","1000000",,5667
"Brandon Morrow","RP","R","R","CHC",35,"11.096",,0.2221022993326187,,0,,,"CHC","1","MiLB","",,9346
"Blake Wood","RP","R","R","LAA",34,"6.131",,0.15510502457618713,,0,,,,"",,,,1345
"Devon Travis","2B","R","R","TOR",29,"4.163",,0.10482212156057358,,0,,,,"",,,,13862
"Joely Rodríguez","RP","L","L","JPN",28,"0.096",,0.07500901073217392,,0,,,"TEX","2","5500000","2750000",,11487
"Tony Cingrani","RP","L","L","STL",30,"6.088",,0.0728265717625618,,0,,,,"",,,,12555
"Pierce Johnson","RP","R","R","JPN",29,"0.137",,0.06733782589435577,,0,,,"SDP","2","5000000","2500000",,13435
"Bud Norris","RP","R","R","TOR",35,"9.068",,0.05950094014406204,,0,,,"PHI","1","MiLB","",,9492
"James Shields","SP","R","R","CHW",38,"12.125",,0.0002442468248773366,,0,,,,"",,,,7059
"Lonnie Chisenhall","LF/RF","L","R","PIT",31,"7.158",,-0.015176147222518921,,0,,,,"",,,,7571
"Addison Reed","RP","L","R","MIN",31,"7.056",,-0.06365948915481567,,0,,,,"",,,,10586
"AJ Ramos","RP","R","R","NYM",33,"6.030",,-0.09177891165018082,,0,,,,"",,,,8350
"Jacoby Ellsbury","CF","L","L","NYY",36,"12.037",,-0.09398287534713745,,0,,,,"",,,,4727
"Brian Duensing","RP","L","L","CHC",37,"9.055",,-0.10067180544137955,,0,,,,"",,,,4064
"Austin Jackson","CF/LF/RF","R","R","NYM",33,"9.000",,-0.16800406575202942,,0,,,,"",,,,9848
"Rafael Dolis","RP","R","R","JPN",32,"1.101",,,,0,,,"TOR","1","1000000","1000000",,4185
