Team,G,PA,HR,R,RBI,SB,BB,K,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
Angels,2392,6073,186,710,678,136,0.09,0.20,0.155,0.277,0.243,0.315,0.397,0.307,92,1.4,-61.3,42.6,18.8
Astros,2313,6271,238,896,854,98,0.08,0.17,0.196,0.309,0.282,0.346,0.478,0.349,121,-0.4,162.6,-37.9,33.7
Athletics,2350,6126,234,739,708,57,0.09,0.24,0.19,0.294,0.246,0.319,0.436,0.323,103,-5.5,19.9,-53.6,17.5
Blue Jays,2455,6154,222,693,661,53,0.09,0.22,0.172,0.276,0.24,0.312,0.412,0.312,93,-15.8,-72.6,-30.2,10.7
Braves,2374,6216,165,732,706,77,0.08,0.19,0.15,0.305,0.263,0.326,0.412,0.316,90,4.3,-79.8,35,15.9
Brewers,2423,6135,224,732,695,128,0.09,0.26,0.18,0.308,0.249,0.322,0.429,0.321,94,2.4,-48.6,20.7,17.3
Cardinals,2416,6219,196,761,728,81,0.10,0.22,0.17,0.304,0.256,0.334,0.426,0.326,101,2,8.4,51.4,26.3
Cubs,2420,6283,223,822,785,62,0.10,0.22,0.182,0.302,0.255,0.338,0.437,0.331,101,-6.8,4.8,57.6,26.7
Diamondbacks,2360,6224,220,812,776,103,0.09,0.23,0.19,0.306,0.254,0.329,0.445,0.329,95,12.4,-27.9,21.1,19.7
Dodgers,2464,6191,221,770,730,77,0.11,0.22,0.188,0.293,0.249,0.334,0.437,0.33,104,5.8,40.7,90.2,33.3
Giants,2372,6137,128,639,612,76,0.08,0.20,0.132,0.294,0.249,0.309,0.38,0.296,83,2.6,-134.1,38.5,10.5
Indians,2367,6234,212,818,780,88,0.10,0.19,0.186,0.295,0.263,0.339,0.449,0.336,105,11.1,48.8,6.8,26.7
Mariners,2323,6166,200,750,714,89,0.08,0.21,0.165,0.3,0.259,0.325,0.424,0.321,103,-12.6,7.2,-0.8,21.6
Marlins,2399,6248,194,778,743,91,0.08,0.21,0.163,0.313,0.267,0.331,0.431,0.325,101,1.4,9,65.7,27.9
Mets,2396,6169,224,735,713,58,0.09,0.21,0.184,0.286,0.25,0.32,0.434,0.322,101,-11.3,-7.2,32.1,22.6
Nationals,2322,6214,215,819,796,108,0.09,0.21,0.183,0.311,0.266,0.332,0.449,0.331,99,11.9,2.4,38.7,24.4
Orioles,2351,6140,232,743,713,32,0.06,0.23,0.175,0.306,0.26,0.312,0.435,0.318,95,-14.9,-51.3,-44.9,11.3
Padres,2342,5954,189,604,576,89,0.08,0.25,0.16,0.287,0.234,0.299,0.393,0.298,82,6.7,-132.7,7.4,7
Phillies,2308,6133,174,690,654,59,0.08,0.23,0.159,0.304,0.25,0.315,0.409,0.31,87,-9.5,-109.5,13.1,10.4
Pirates,2371,6136,151,668,635,67,0.09,0.20,0.142,0.286,0.244,0.318,0.386,0.304,85,-2.2,-120,19.3,10
Rangers,2268,6122,237,799,756,113,0.09,0.24,0.186,0.291,0.244,0.32,0.43,0.321,90,6.3,-70.2,-37.6,10.1
Rays,2345,6147,228,694,671,88,0.09,0.25,0.178,0.296,0.245,0.317,0.422,0.316,99,11.2,1.1,6.5,21.7
Red Sox,2334,6338,168,785,735,106,0.09,0.19,0.149,0.3,0.258,0.329,0.407,0.316,91,4.9,-64,30.2,18.2
Reds,2321,6213,219,753,715,120,0.09,0.21,0.179,0.294,0.253,0.329,0.433,0.325,95,-5.3,-47.4,38.7,19.4
Rockies,2374,6201,192,824,793,59,0.08,0.23,0.171,0.332,0.273,0.338,0.444,0.332,88,-6.4,-105.8,40,13.7
Royals,2342,6027,193,702,660,91,0.07,0.19,0.16,0.295,0.259,0.311,0.42,0.312,91,2.5,-65.6,-28.5,11.1
Tigers,2336,6150,187,735,699,65,0.08,0.21,0.166,0.306,0.258,0.324,0.424,0.321,98,-19.8,-37.8,-29.4,14.2
Twins,2324,6261,206,815,781,95,0.10,0.21,0.174,0.306,0.26,0.334,0.434,0.329,103,14.4,39.7,7.2,26
White Sox,2289,6059,186,706,670,71,0.07,0.23,0.161,0.309,0.256,0.314,0.417,0.313,95,-1.9,-36.4,-29.2,14.1
Yankees,2294,6354,241,858,821,90,0.10,0.22,0.185,0.304,0.262,0.339,0.447,0.336,109,11.1,82.3,-6.5,29.2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
