Team,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,BIZ,Plays,RZR,OOZ,FSR,FRM,ARM,DPR,RngR,ErrR,UZR,UZR/150,Def
Angels,12792,0,1,3,-1,4,13,10,4,34,2129,1690,0.794,562,0,-6.9,5.9,1.1,25.5,-6.8,25.7,4.7,34.7
Astros,13212,10,0,3,7,20,5,16,22,81,1998,1589,0.795,672,24,18.4,20.4,-2.5,-2.1,-5.1,10.7,5.1,14.7
Athletics,12900,-15,3,-5,1,-8,-10,-55,12,-71,2215,1770,0.799,544,-47,-19.4,-7.6,-1.6,-24.9,-2.7,-36.8,-5.9,-39.8
Blue Jays,13134,16,4,-6,-1,0,-4,43,12,53,2087,1719,0.824,514,19,17,-5.2,1.5,12.8,2.3,11.4,0.7,37.4
Braves,13029,9,2,-8,-2,9,-5,-24,18,-11,2147,1700,0.792,626,-46,-0.7,5.2,0.3,-8,-8,-10.4,-0.3,-25.4
Brewers,12909,4,-5,5,-3,1,-4,12,23,29,2084,1675,0.804,609,-15,4.8,0.2,-3.1,-28.9,-19.6,-51.4,-7.8,-42.4
Cardinals,13035,-3,4,-5,3,-10,-2,12,1,4,2113,1716,0.812,543,-29,8,-10.5,1.8,-21.7,-3.9,-34.3,-5.9,-40.3
Cubs,13137,19,0,2,-1,-4,-5,99,12,107,1947,1661,0.853,467,49,15.2,1,-1,42.8,4.3,47.1,6.4,43.1
Diamondbacks,13062,-7,0,3,3,-20,4,-1,17,-1,2195,1742,0.794,534,-17,-11.8,-10.4,2.7,-16.3,-0.5,-24.5,-4.6,-19.5
Dodgers,13077,13,1,0,-8,-2,-8,42,12,52,1877,1529,0.815,532,16,26.5,-6.7,-5.7,22.1,8.5,18.3,0.1,19.3
Giants,13143,10,1,2,1,-3,1,39,12,70,2081,1730,0.831,543,51,25.5,-5.1,2.1,18.2,11.3,26.4,2.5,32.4
Indians,13005,-3,2,3,-5,8,-3,7,22,37,2063,1711,0.829,534,7,7.5,4.5,1.5,17.3,-2.9,20.4,3.9,26.4
Mariners,13113,0,0,-3,7,-2,3,-22,22,-1,2054,1616,0.787,648,-2,-15.5,-1.7,4.3,-13.9,-5.2,-16.5,-2,-19.5
Marlins,12915,1,-10,0,-4,7,3,19,2,16,1984,1640,0.827,476,24,-8.1,4,-2.2,18.4,12.1,32.3,4.8,35.3
Mets,13023,9,-2,-2,-2,3,7,-19,5,-9,2049,1625,0.793,492,-37,19.5,3.7,4.6,-7.3,3.7,4.7,1.8,-4.3
Nationals,13137,0,0,0,2,3,2,-20,14,0,1917,1571,0.82,521,23,5.9,5.7,0.5,-15,5.3,-3.5,0.8,9.3
Orioles,12888,-5,3,0,9,-12,10,-34,15,-15,2074,1705,0.822,525,13,-3.5,-10.7,4.8,-19.1,12.5,-12.5,-3.2,-12.5
Padres,12960,8,7,-2,-1,-15,1,-25,20,-6,2105,1684,0.8,594,-29,7.6,-11.2,-2,-8.8,-1.9,-23.9,-5.3,-29.9
Phillies,12933,-11,-1,0,-1,6,-9,-21,8,-23,2012,1670,0.83,507,-20,-11.3,-3.7,1.1,23.3,1,21.6,2.2,22.6
Pirates,13056,2,6,-1,2,10,-8,-14,11,-4,2140,1700,0.794,568,-8,8.5,10,-1.2,-26,-8.2,-25.4,-1.9,-32.4
Rangers,12987,1,-5,2,4,0,-2,0,10,9,2227,1780,0.799,595,13,-11.3,3.3,7.4,6.5,-5.9,11.4,2.2,12.4
Rays,12837,8,1,-2,1,1,1,4,9,22,1956,1517,0.776,596,-13,10.7,-3.4,-2.1,9.1,-7,-3.4,-1.2,-8.4
Red Sox,12957,3,1,4,1,7,12,24,6,54,1993,1646,0.826,521,34,-2.1,5.8,2.6,16.4,4.5,29.3,5.2,36.3
Reds,12978,-16,-6,3,-3,1,10,-29,8,-29,2151,1779,0.827,486,5,-19.8,-0.8,-6.8,14.1,-5.3,1.2,-0.5,6.2
Rockies,12864,-10,0,1,-1,-3,-6,25,15,19,2123,1653,0.779,643,27,2.8,2.4,-4.7,-6.9,2.3,-6.9,-1.1,-8.9
Royals,12960,-12,1,4,-3,8,5,7,1,21,2172,1760,0.81,510,38,-19.1,3.7,-3,11.3,9.2,21.2,2.9,32.2
Tigers,12852,-6,0,5,4,-18,1,-51,10,-50,2158,1749,0.811,451,-1,-12.6,-14.5,3.2,-13.7,16.4,-8.5,-3.1,-0.5
Twins,12987,-15,-5,-3,-2,-5,-2,-35,9,-50,2221,1776,0.8,546,-34,-17.6,-5.1,2.8,-15.5,-13.1,-30.9,-4.2,-32.9
White Sox,13020,-11,-3,-2,0,17,4,-25,17,-3,2142,1726,0.806,542,-39,-21.3,14.7,0.6,-18.6,4.6,1.3,2.5,-49.3
Yankees,12855,3,0,-4,-7,3,-1,14,10,12,2012,1620,0.805,533,3,0,5.8,-5.7,8.9,3.7,12.6,2.3,6.6
