Team,G,PA,HR,R,RBI,SB,BB,K,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
Angels,2459,5990,176,661,621,52,0.07,0.19,0.15,0.28,0.246,0.307,0.396,0.305,95,0.5,-37,2.3,17.1
Astros,2333,6073,230,729,691,121,0.08,0.23,0.187,0.292,0.25,0.315,0.437,0.325,108,8.1,66.8,-19.6,26.1
Athletics,2349,6171,146,694,661,78,0.08,0.18,0.144,0.288,0.251,0.312,0.395,0.308,95,-1,-34.1,-60.7,11.3
Blue Jays,2337,6231,232,891,852,88,0.09,0.19,0.188,0.298,0.269,0.34,0.457,0.344,117,11,135.9,6.6,36.7
Braves,2340,6034,100,573,548,69,0.08,0.18,0.108,0.297,0.251,0.314,0.359,0.296,84,-2.7,-115.5,22.4,9.9
Brewers,2377,6024,145,655,624,84,0.07,0.22,0.142,0.303,0.251,0.307,0.393,0.304,87,1.5,-87.9,20.7,12.6
Cardinals,2406,6139,137,647,619,69,0.08,0.21,0.142,0.303,0.253,0.321,0.394,0.311,97,0.9,-21.2,53.8,23.6
Cubs,2406,6200,171,689,657,95,0.09,0.25,0.154,0.305,0.244,0.321,0.398,0.313,96,15.1,-15.8,63.6,25.4
Diamondbacks,2393,6276,154,720,680,132,0.08,0.21,0.15,0.316,0.264,0.324,0.414,0.319,95,12.5,-23.3,32.6,21.6
Dodgers,2379,6090,187,667,638,59,0.09,0.21,0.163,0.292,0.25,0.326,0.413,0.322,106,-15.3,28.2,57.3,29
Giants,2342,6153,136,696,663,93,0.07,0.19,0.139,0.313,0.267,0.326,0.406,0.318,104,-0.4,25.6,62,29.5
Indians,2285,6109,141,669,640,86,0.09,0.19,0.144,0.299,0.256,0.325,0.401,0.315,97,8.1,-15.6,-4.5,19.1
Mariners,2407,6131,198,656,624,69,0.08,0.22,0.162,0.292,0.249,0.311,0.411,0.313,100,-23.1,-20.7,-15.8,17.4
Marlins,2297,5988,120,613,575,112,0.06,0.19,0.124,0.307,0.26,0.31,0.384,0.302,91,-1.2,-67.2,26.8,15.3
Mets,2325,6145,177,683,654,51,0.08,0.21,0.156,0.287,0.244,0.312,0.4,0.309,98,6.2,-6.8,48.7,24.6
Nationals,2245,6117,177,703,665,57,0.09,0.22,0.151,0.3,0.251,0.321,0.403,0.315,96,-2.3,-29.7,9.4,17.9
Orioles,2249,6007,217,713,686,44,0.07,0.22,0.171,0.291,0.25,0.307,0.421,0.315,97,-4.9,-23.9,-5.9,17.7
Padres,2396,6019,148,650,623,82,0.07,0.22,0.142,0.292,0.243,0.3,0.385,0.298,90,5,-63.2,31.5,16.4
Phillies,2321,6053,130,626,586,88,0.06,0.21,0.133,0.299,0.249,0.303,0.382,0.298,86,-1.9,-100.3,-3.9,8.8
Pirates,2431,6285,140,697,661,98,0.07,0.21,0.136,0.314,0.26,0.323,0.396,0.313,97,3.5,-17.4,49.6,24
Rangers,2358,6187,172,751,707,101,0.08,0.20,0.156,0.3,0.257,0.325,0.413,0.321,98,21.6,4.8,-3,21.6
Rays,2479,6071,167,644,612,87,0.07,0.22,0.154,0.3,0.252,0.314,0.406,0.313,100,-13.4,-16.2,2.5,19.6
Red Sox,2268,6237,161,748,706,71,0.08,0.18,0.149,0.305,0.265,0.325,0.415,0.321,99,1.4,-5.9,-28.9,17.9
Reds,2337,6196,167,640,613,134,0.08,0.20,0.146,0.29,0.248,0.312,0.394,0.307,91,10.9,-52.1,16.1,16.5
Rockies,2436,6071,186,737,702,97,0.06,0.21,0.167,0.313,0.265,0.315,0.432,0.321,87,4.7,-91.9,-4.2,9.7
Royals,2263,6116,139,724,689,104,0.06,0.16,0.144,0.301,0.269,0.322,0.412,0.318,99,-0.3,-8.3,13.8,21.8
Tigers,2340,6159,151,689,660,83,0.07,0.20,0.15,0.322,0.27,0.328,0.42,0.324,103,-27.6,-8.6,-31.6,17.1
Twins,2311,6017,156,696,661,70,0.07,0.21,0.152,0.292,0.247,0.305,0.399,0.305,89,-5.5,-80.4,-2.1,12.1
White Sox,2265,6070,136,622,595,68,0.07,0.20,0.13,0.296,0.25,0.306,0.38,0.3,89,-15.2,-94.3,-21.6,8.8
Yankees,2401,6268,212,764,737,63,0.09,0.20,0.17,0.283,0.251,0.323,0.421,0.323,103,3,25.3,-35.3,20.7
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
