Team,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,BIZ,Plays,RZR,OOZ,FSR,FRM,ARM,DPR,RngR,ErrR,UZR,UZR/150,Def
Angels,12984,-5,-1,-2,0,-6,-6,14,19,13,1990,1624,0.816,574,,-5,6.7,0.7,8.4,11,26.8,4.3,25.8
Astros,13161,-1,-2,-2,-4,-1,27,44,35,90,1760,1432,0.814,651,,-0.2,-0.9,-5.5,17.2,4.1,14.9,1.6,9.9
Athletics,13185,-11,-4,1,-7,9,-5,40,14,42,2116,1747,0.826,534,,-7.9,8.1,-1.2,14.3,18.7,39.9,5.9,42.9
Blue Jays,12963,12,5,3,-3,-2,-3,-32,12,-9,1966,1563,0.795,618,,12,-3.4,-4.2,-20.8,3.5,-24.9,-4.1,-16.9
Braves,13056,16,-1,-1,-1,3,1,26,0,37,2015,1606,0.797,556,,16.9,5.3,0.7,-30.7,14.4,-10.3,-0.1,19.6
Brewers,13134,15,-2,-4,1,-5,9,29,2,36,1827,1463,0.801,612,,23.3,-0.4,2.4,15.2,-7.2,10,1.6,2
Cardinals,12996,-13,0,2,2,5,-3,58,30,95,1919,1576,0.821,566,,-10.9,5.3,5.7,9.5,12.2,32.8,6.1,39.8
Cubs,12978,-2,1,0,6,4,3,-15,-5,-13,2022,1642,0.812,510,,-8.3,0.7,6.4,-2.7,7.5,11.9,1.8,8.9
Diamondbacks,13185,3,-1,3,4,5,8,48,44,117,1859,1526,0.821,681,,5.1,9.7,0.2,7.9,3.2,21,4.7,41.2
Dodgers,13011,13,1,-1,4,8,7,63,48,136,1767,1435,0.812,625,,11.3,5.9,-0.6,10.4,-17.7,-2,0.8,-5
Giants,13221,12,-1,-1,-9,-3,-1,38,12,46,2018,1642,0.814,578,,6.9,-7.6,-4.5,16.8,0.8,5.6,-1.1,2.6
Indians,12939,20,7,1,0,8,11,9,16,70,1881,1542,0.82,550,,13,13.5,-0.5,8.1,11.8,32.9,7,38.9
Mariners,12954,-7,-3,1,-4,-1,-13,-53,1,-86,2158,1729,0.801,609,,-6.3,-10,-1.9,-8.3,-9.4,-29.5,-5.2,-31.5
Marlins,12999,-1,-6,0,1,-9,2,10,11,9,1880,1522,0.81,586,,-7.4,3.4,2.4,4.1,-10.9,-1,0.9,-1
Mets,13149,-11,-2,-2,3,5,-10,-66,-1,-93,1971,1591,0.807,532,,-5.1,2.5,4.5,-24.5,4.7,-12.8,-0.8,-26.8
Nationals,12954,-13,1,-3,1,7,3,-7,5,-2,1831,1519,0.83,598,,-6,1.2,-4.5,-4.1,10.2,2.9,0.2,0.9
Orioles,12987,-21,0,0,9,-17,-9,-53,-13,-105,2007,1624,0.809,724,,-19.4,-17.5,5.7,-1,-16.6,-29.5,-5.9,-32.5
Padres,12888,25,5,0,-4,-2,-9,19,-7,19,1945,1550,0.797,583,,15.7,-8.1,-2,14.8,-1.5,3.2,-1.6,3.2
Phillies,13083,1,-2,10,-4,5,-2,31,7,53,2007,1621,0.808,541,,8,8.2,-8.1,14.1,6.9,21.1,3.4,36.1
Pirates,12960,-8,-5,2,5,-3,1,-40,-4,-53,1958,1538,0.786,540,,-7.1,-6.7,2.6,-33.5,-16.4,-54,-8.4,-51
Rangers,12942,-9,3,-2,-1,-7,-13,-30,10,-49,2096,1668,0.796,536,,-10.8,-12.4,-1.1,3,-0.5,-11.1,-3.2,-13.1
Rays,13269,7,-1,0,0,2,3,22,25,54,1802,1435,0.796,630,,5.1,5.1,-1.1,1.1,-7.2,-2.1,0.4,9.1
Red Sox,13239,10,0,1,-8,13,-5,-50,-3,-40,1934,1598,0.826,502,,14.1,15,-5.9,-3.8,5.5,10.8,3.3,14.8
Reds,12942,6,2,-3,4,7,3,33,13,58,1820,1453,0.798,590,,2.9,-2.8,1.8,-0.8,0.4,-1.5,-0.6,-10.5
Rockies,13038,-15,1,2,5,-12,8,-4,16,8,2075,1666,0.803,625,,-12.5,-10.9,0.8,3.3,-3.9,-10.8,-2.9,-5.8
Royals,12825,-4,2,3,0,-4,6,5,-1,7,2137,1706,0.798,598,,-3.7,-2.4,3.8,0.7,18.2,20.3,2.3,27.3
Tigers,12897,-4,2,-2,-4,-12,-12,-48,1,-83,2072,1604,0.774,584,,-7.8,-13.2,-1.2,-15.1,2.5,-27.1,-5.5,-29.1
Twins,13170,1,0,-5,-2,13,-1,-19,6,-7,1950,1551,0.795,641,,3.4,7.1,-1.3,7.7,-23.4,-9.9,-1.1,-9.1
White Sox,12714,-15,2,1,10,-2,-4,-55,11,-49,1925,1528,0.794,609,,-18.4,-1,5.6,-12.9,-10.9,-19.2,-2.5,-18.2
Yankees,12987,0,-1,2,0,2,4,-7,-14,-18,1856,1451,0.782,636,,-5.3,-0.2,1.6,1.6,-0.2,2.7,0.5,1.7
