Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB,GB,HR/FB,ERA,FIP,xFIP,WAR
Angels,85,77,46,680,162,1440.2,7.63,2.91,1.04,0.285,0.73,0.42,0.10,3.94,4.06,4.26,12.2
Astros,86,76,39,644,162,1441,7.99,2.64,0.92,0.285,0.74,0.47,0.11,3.57,3.66,3.71,18.9
Athletics,68,94,28,649,162,1444.2,7.34,2.95,1.07,0.289,0.71,0.45,0.11,4.16,4.13,4.13,13
Blue Jays,93,69,34,631,162,1441,6.98,2.48,1.08,0.278,0.73,0.44,0.11,3.81,4.09,4.14,13.7
Braves,67,95,44,694,162,1425.1,7.25,3.47,1.07,0.305,0.71,0.43,0.11,4.41,4.34,4.36,7
Brewers,68,94,40,658,162,1435,7.9,3.24,1.1,0.303,0.72,0.46,0.13,4.28,4.17,4,9.9
Cardinals,100,62,62,677,162,1464.2,8.17,2.93,0.76,0.297,0.79,0.48,0.09,2.94,3.48,3.71,20.6
Cubs,97,65,48,714,162,1461.1,8.81,2.51,0.83,0.287,0.73,0.47,0.11,3.36,3.3,3.37,22.9
Diamondbacks,79,83,44,712,162,1466.2,7.46,3.07,1.12,0.294,0.74,0.46,0.12,4.05,4.21,4.09,10.6
Dodgers,92,70,47,677,162,1445.2,8.69,2.46,0.9,0.296,0.75,0.50,0.12,3.46,3.41,3.33,19.7
Giants,84,78,41,719,162,1444.1,7.26,2.69,0.97,0.283,0.75,0.46,0.11,3.73,3.92,3.99,8.8
Indians,81,80,38,637,161,1432.2,8.84,2.67,1.01,0.288,0.73,0.45,0.12,3.68,3.62,3.57,21.1
Mariners,76,86,45,671,162,1463,7.89,3.02,1.11,0.298,0.73,0.46,0.13,4.16,4.14,3.99,9.1
Marlins,71,91,35,648,162,1427,7.27,3.2,0.89,0.294,0.72,0.45,0.10,4.04,3.98,4.23,12.2
Mets,90,72,50,647,162,1462.2,8.23,2.36,0.94,0.288,0.74,0.46,0.11,3.45,3.53,3.6,19
Nationals,83,79,41,630,162,1434.2,8.42,2.28,0.91,0.3,0.73,0.45,0.10,3.62,3.45,3.58,22.2
Orioles,81,81,43,615,162,1434.2,7.73,3.03,1.09,0.298,0.74,0.45,0.12,4.05,4.11,4.04,15.8
Padres,74,88,41,678,162,1440.1,8.7,3.22,1.07,0.303,0.71,0.47,0.13,4.09,3.93,3.71,9.7
Phillies,63,99,35,665,162,1436.1,7.22,3.06,1.2,0.316,0.71,0.44,0.12,4.69,4.4,4.29,10.3
Pirates,98,64,54,662,162,1489.2,8.08,2.74,0.66,0.302,0.75,0.50,0.09,3.23,3.36,3.56,19.5
Rangers,88,74,45,660,162,1442.2,6.83,3.17,1.07,0.294,0.72,0.44,0.11,4.25,4.34,4.37,11
Rays,80,82,60,692,162,1453.1,8.39,2.95,1.08,0.284,0.75,0.42,0.11,3.74,3.91,3.94,14.7
Red Sox,78,84,40,637,162,1448.1,7.57,2.97,1.11,0.305,0.72,0.44,0.12,4.34,4.17,4.14,11.8
Reds,64,98,35,683,162,1453.1,7.75,3.37,1.1,0.297,0.72,0.44,0.12,4.35,4.24,4.14,10.8
Rockies,68,94,36,746,162,1426.1,7.02,3.65,1.15,0.318,0.70,0.48,0.13,5.04,4.56,4.33,8.3
Royals,95,67,56,655,162,1452,7.19,3.03,0.96,0.286,0.75,0.43,0.10,3.74,4.04,4.25,13.8
Tigers,74,87,35,666,161,1447,6.84,3.04,1.2,0.298,0.70,0.43,0.12,4.64,4.46,4.36,11.7
Twins,83,79,45,682,162,1443,6.52,2.58,1.02,0.3,0.73,0.44,0.10,4.07,4.1,4.23,16
White Sox,76,86,37,576,162,1452.2,8.42,2.94,1,0.311,0.73,0.45,0.11,3.98,3.82,3.81,17.4
Yankees,87,75,48,659,162,1457.2,8.46,2.93,1.12,0.3,0.74,0.47,0.14,4.03,3.97,3.7,18.4
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
