Team,G,PA,HR,R,RBI,SB,BB,K,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
Angels,2467,6108,214,721,690,89,0.08,0.21,0.171,0.277,0.242,0.313,0.413,0.313,100,2.8,-1.1,36.7,24.4
Astros,2348,6146,205,797,763,71,0.09,0.20,0.17,0.289,0.255,0.329,0.425,0.327,109,-7,60.1,-11.5,25.9
Athletics,2403,6255,227,813,778,35,0.09,0.22,0.187,0.294,0.252,0.325,0.439,0.329,111,-5.8,77.8,23,31.7
Blue Jays,2435,6076,217,709,680,47,0.08,0.23,0.183,0.286,0.244,0.312,0.427,0.319,101,-27.1,-22.5,-49.7,13.2
Braves,2377,6251,175,759,717,90,0.08,0.21,0.161,0.302,0.257,0.324,0.417,0.319,97,12.6,-10.8,66.8,26
Brewers,2496,6210,218,754,711,124,0.09,0.24,0.172,0.302,0.252,0.323,0.424,0.322,99,8.2,3,68.3,27.5
Cardinals,2464,6200,205,759,725,63,0.09,0.22,0.16,0.294,0.249,0.321,0.409,0.316,99,12.9,8.3,47.1,25.8
Cubs,2490,6369,167,761,722,66,0.09,0.22,0.152,0.313,0.258,0.333,0.41,0.321,100,2.2,-0.9,44,25.1
Diamondbacks,2409,6157,176,693,658,79,0.09,0.24,0.162,0.286,0.235,0.31,0.397,0.306,89,7.1,-76,79.2,20.3
Dodgers,2574,6358,235,804,756,75,0.10,0.23,0.191,0.294,0.25,0.333,0.442,0.333,111,11.4,99.1,38.3,34.8
Giants,2412,6113,133,603,573,77,0.07,0.24,0.129,0.299,0.239,0.3,0.368,0.29,83,-2.9,-132.5,7.9,7
Indians,2413,6300,216,818,786,135,0.09,0.19,0.176,0.291,0.259,0.332,0.434,0.33,104,13.7,45.6,16.8,27.9
Mariners,2373,6087,176,677,644,79,0.07,0.20,0.154,0.295,0.254,0.314,0.408,0.313,100,-7,-6.8,-17.4,18.2
Marlins,2434,6083,128,589,554,45,0.08,0.23,0.119,0.293,0.237,0.303,0.357,0.289,83,-15.8,-144.4,49.3,9.9
Mets,2333,6177,170,676,649,71,0.09,0.23,0.154,0.283,0.234,0.312,0.389,0.305,94,2.6,-40.1,-8.3,15
Nationals,2441,6288,191,771,737,119,0.10,0.21,0.164,0.297,0.254,0.335,0.419,0.325,100,8.4,11.5,22.2,23.8
Orioles,2313,6034,188,622,593,81,0.07,0.23,0.152,0.286,0.239,0.298,0.391,0.299,85,-9.6,-116.1,-75.1,0.8
Padres,2380,6059,162,617,583,95,0.08,0.25,0.145,0.294,0.235,0.297,0.38,0.294,84,-5.7,-122.8,10,8
Phillies,2474,6136,186,677,653,69,0.10,0.25,0.158,0.289,0.234,0.314,0.393,0.307,90,2.9,-71.4,-3.1,12.2
Pirates,2293,6066,157,692,665,70,0.08,0.20,0.154,0.298,0.254,0.317,0.407,0.312,95,-13.3,-47.6,29.1,17.7
Rangers,2300,6163,194,737,696,74,0.09,0.24,0.164,0.292,0.24,0.318,0.404,0.315,89,7.2,-77.4,-15.1,11.4
Rays,2371,6195,150,716,664,128,0.09,0.22,0.148,0.317,0.258,0.333,0.406,0.322,106,-0.3,45.9,-23.7,23.4
Red Sox,2345,6302,208,876,829,125,0.09,0.20,0.185,0.309,0.268,0.339,0.453,0.34,110,-5.1,73.1,30.9,32.1
Reds,2402,6240,172,696,665,77,0.09,0.22,0.148,0.307,0.254,0.328,0.401,0.317,95,-1.9,-44,8.6,16.6
Rockies,2368,6178,210,780,748,95,0.08,0.23,0.179,0.304,0.256,0.322,0.435,0.325,88,3.2,-88.7,53.2,16.4
Royals,2184,6063,155,638,606,117,0.07,0.22,0.146,0.293,0.245,0.305,0.392,0.303,88,-7.4,-97.1,11.6,11.8
Tigers,2323,6029,135,630,597,70,0.07,0.22,0.138,0.293,0.241,0.3,0.38,0.295,83,6.4,-113.4,-20.5,6.7
Twins,2351,6154,166,738,704,47,0.09,0.22,0.155,0.298,0.25,0.318,0.405,0.313,96,0.6,-30.6,-17.4,16
White Sox,2348,6071,182,656,639,98,0.07,0.26,0.16,0.304,0.241,0.302,0.401,0.304,92,-7.2,-61.9,-52.9,8.8
Yankees,2269,6271,267,851,821,63,0.10,0.23,0.202,0.285,0.249,0.329,0.451,0.335,112,14.6,105,-4.6,31.7
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
