Team,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,BIZ,Plays,RZR,OOZ,FSR,FRM,ARM,DPR,RngR,ErrR,UZR,UZR/150,Def
Angels,12936,2,0,4,7,-5,2,33,7,49,1977,1617,0.818,537,19,5.7,-1.1,6.1,18.8,17.4,41.2,5,50.2
Astros,13095,12,2,1,4,3,9,-9,5,25,1755,1417,0.807,608,-2,14.5,2.8,1.5,-17.7,0.9,-12.5,-1.3,19.6
Athletics,13191,-1,-8,4,0,-4,-2,36,36,61,2067,1763,0.853,594,9,-2.8,-1.8,0,29,9.5,36.7,4,32
Blue Jays,12903,15,0,-1,-1,-2,-4,-92,1,-100,2024,1632,0.806,583,-26,15.3,-4.8,1.3,-46.8,2.6,-47.6,-6.4,-54.6
Braves,13110,1,1,-1,-1,1,-3,61,7,59,1875,1554,0.829,604,23,1.5,-4,-3,28.6,6.3,27.9,2.6,26.9
Brewers,13149,6,1,2,1,0,5,74,24,116,1845,1512,0.82,607,0,7.1,-0.9,3.6,36.9,-14.6,24.9,4,29.9
Cardinals,13098,-5,-2,-3,-3,-7,-8,59,8,40,2046,1659,0.811,548,3,-1.2,-2.1,3.7,26,-14.6,13,1.6,11
Cubs,13287,-10,3,3,6,14,11,5,6,43,2094,1755,0.838,540,25,-19.9,14.2,4.9,-5.9,10.2,23.4,6.2,29.4
Diamondbacks,13167,27,-1,0,2,-11,17,91,39,157,1963,1631,0.831,598,21,27.6,-15.8,-2.1,23.5,7.1,12.7,-1.6,15.7
Dodgers,13284,25,-1,-1,-7,-2,3,25,15,47,1941,1580,0.814,510,2,17.9,-0.6,-7.1,-2.2,-7.7,-17.6,-3.6,-18.6
Giants,13152,-9,0,-2,0,-10,1,36,13,32,2125,1741,0.819,552,20,-9.6,-12.2,-0.6,-2.6,-1.7,-17.1,-4.3,-19.1
Indians,13116,13,2,-3,-2,2,2,2,16,28,1958,1618,0.826,514,19,8.1,11.5,-1.3,11.9,5.4,27.5,6.1,23.5
Mariners,13038,3,4,2,13,7,1,-48,-4,-23,2087,1660,0.795,638,11,6.9,-4,7.4,-14.9,1.1,-10.4,-1.4,-7.4
Marlins,12978,1,-4,3,-2,-8,-10,42,12,40,1982,1631,0.823,624,-20,5.3,-4.5,0.4,8.1,4,8.1,0.4,19.1
Mets,13146,-9,-1,-6,3,-3,2,-70,11,-77,1970,1589,0.807,551,-30,-9,-3.8,2.1,-30.6,0.3,-32.1,-5,-44.1
Nationals,13014,-5,0,2,-3,-2,0,-52,-4,-55,1899,1566,0.825,550,5,-6.7,-5.1,-6.4,-15,13.5,-13,-3.5,-8
Orioles,12879,-12,-1,2,-1,-2,-5,-92,14,-94,2063,1664,0.807,581,-28,-10,0.8,3,-52.1,-3.6,-51.9,-6.9,-49.9
Padres,13113,2,0,-2,-5,-5,-5,48,4,48,1963,1616,0.823,543,9,4.1,-8.8,-6.4,-20,9,-26.2,-5.5,-23.2
Phillies,13011,-5,3,1,4,-8,-10,-121,-10,-146,1914,1537,0.803,543,-34,6.4,-7.1,2,-29.8,-10.7,-45.6,-8,-32.8
Pirates,12906,-11,0,5,2,11,-12,-28,-6,-36,1996,1616,0.81,574,1,-10.1,11.9,-0.1,-11,-3.5,-2.8,1.8,3.2
Rangers,12879,-17,-3,-2,1,-1,-3,21,13,6,2180,1783,0.818,557,-10,-23.8,8.4,2,12.7,2.6,25.6,4,20.6
Rays,13035,-5,1,-5,1,4,3,26,31,52,1923,1571,0.817,661,21,-12.1,-3.3,-1.1,20.5,-7.2,8.9,0.4,-22.3
Red Sox,13128,15,4,-2,-5,9,-3,-61,16,-26,1884,1533,0.814,556,7,22.8,19.1,-0.2,0.3,6.2,25.3,6.7,26.3
Reds,12969,-21,-1,-1,-2,4,0,13,15,8,2117,1731,0.818,545,6,-21.7,-6,-1.8,7.9,-5.4,-5.3,-1.7,-9.3
Rockies,13071,8,0,-1,4,-6,0,-14,13,-1,1978,1621,0.82,559,6,10.8,-1.6,3.9,-13.9,15.7,4.1,0.6,1.1
Royals,12888,-10,-1,5,-6,1,-5,25,17,25,2137,1706,0.798,624,-1,-13.5,4.9,-4.3,26.2,7.7,34.5,4.7,42.5
Tigers,12828,1,-3,0,2,-2,-13,9,30,24,1995,1635,0.82,621,-18,-7.1,0.7,-2.3,9.4,-2.7,5,0.5,6
Twins,12990,-8,0,-3,-2,2,-1,0,31,20,1947,1556,0.799,606,-9,-0.9,-1.2,-2.4,10.5,-5.5,1.4,-0.2,-0.6
White Sox,12933,-18,0,-3,2,9,-5,-37,8,-56,1983,1576,0.795,675,-19,-15.8,1.1,3.9,-3.4,-20.3,-18.6,-2.3,-28.6
Yankees,13107,15,3,0,-8,5,-2,-4,20,24,1759,1402,0.797,620,-4,10,13.1,-6.8,-4.3,-1.9,0.1,1.7,-1.9
